Longitude,Latitude
-0.230329,51.522911
-0.224937,51.512165
-0.22835,51.521137
-0.224937,51.512165
-0.228499,51.519907
-0.22622,51.518083
-0.226473,51.512323
-0.22622,51.518083
-0.227873,51.513378
-0.224937,51.512165
-0.246817,51.514706
-0.244401,51.517565
-0.246817,51.514706
-0.244401,51.517565
-0.246817,51.514706
-0.246432,51.515366
-0.237855,51.51503
-0.241494,51.514824
-0.240434,51.517659
-0.237415,51.516337
-0.240434,51.517659
-0.237855,51.51503
-0.237855,51.51503
-0.237855,51.51503
-0.240434,51.517659
-0.237855,51.51503
-0.240434,51.517659
-0.241494,51.514824
-0.233407,51.514882
-0.237855,51.51503
-0.236246,51.531678
-0.236246,51.531678
-0.235334,51.532141
-0.240451,51.528432
-0.235248,51.530638
-0.245045,51.528988
-0.235248,51.530638
-0.244524,51.532
-0.235248,51.530638
-0.230966,51.530636
-0.23342,51.53168
-0.235334,51.532141
-0.236246,51.531678
-0.235334,51.532141
-0.240451,51.528432
-0.23342,51.53168
-0.236246,51.531678
-0.236246,51.531678
-0.235334,51.532141
-0.248918,51.516284
-0.248918,51.516284
-0.248918,51.516284
-0.245709,51.518781
-0.246064,51.519299
-0.248918,51.516284
-0.248918,51.516284
-0.246228,51.517665
-0.246064,51.519299
-0.238456,51.511406
-0.24073,51.511836
-0.23969,51.512648
-0.234682,51.510226
-0.234682,51.510226
-0.234682,51.510226
-0.239716,51.511596
-0.231623,51.512562
-0.231623,51.512562
-0.231623,51.512562
-0.232823,51.513579
-0.233574,51.512421
-0.232823,51.513579
-0.232823,51.513579
-0.233574,51.512421
-0.233574,51.512421
-0.232953,51.512466
-0.232953,51.512466
-0.233574,51.512421
-0.233574,51.512421
-0.233574,51.512421
-0.243457,51.50801
-0.242303,51.512552
-0.242303,51.512552
-0.242303,51.512552
-0.237535,51.509504
-0.237535,51.509504
-0.235821,51.507986
-0.235199,51.509541
-0.226,51.507442
-0.22174,51.505444
-0.22174,51.505444
-0.224214,51.502964
-0.222612,51.505259
-0.22174,51.505444
-0.221881,51.508108
-0.221881,51.508108
-0.221881,51.508108
-0.223472,51.510191
-0.223472,51.510191
-0.224214,51.502964
-0.224214,51.502964
-0.223124,51.505069
-0.223168,51.505771
-0.226,51.507442
-0.220118,51.508603
-0.226,51.507442
-0.226,51.507442
-0.224214,51.502964
-0.221881,51.508108
-0.221881,51.508108
-0.22088,51.503848
-0.218683,51.504759
-0.221881,51.508108
-0.223472,51.510191
-0.221881,51.508108
-0.221881,51.508108
-0.223124,51.505069
-0.221881,51.508108
-0.223472,51.510191
-0.223472,51.510191
-0.221881,51.508108
-0.221881,51.508108
-0.22039,51.505334
-0.218683,51.504759
-0.221881,51.508108
-0.223472,51.510191
-0.22039,51.505334
-0.221881,51.508108
-0.226,51.507442
-0.223124,51.505069
-0.221881,51.508108
-0.223472,51.510191
-0.223124,51.505069
-0.223124,51.505069
-0.221881,51.508108
-0.221881,51.508108
-0.221881,51.508108
-0.223124,51.505069
-0.22088,51.503848
-0.22088,51.503848
-0.221881,51.508108
-0.223148,51.505564
-0.226,51.507442
-0.221881,51.508108
-0.221881,51.508108
-0.225665,51.506043
-0.215852,51.507531
-0.217811,51.509395
-0.217811,51.509395
-0.217702,51.50737
-0.215551,51.508228
-0.215551,51.508228
-0.217702,51.50737
-0.23052,51.507942
-0.233637,51.50708
-0.233581,51.508887
-0.231655,51.506685
-0.23052,51.507942
-0.23052,51.507942
-0.23052,51.507942
-0.23052,51.507942
-0.233637,51.50708
-0.23267,51.507857
-0.233085,51.50941
-0.233637,51.50708
-0.23267,51.507857
-0.233637,51.50708
-0.23267,51.507857
-0.23052,51.507942
-0.228297,51.50655
-0.228297,51.50655
-0.230159,51.510184
-0.230159,51.510184
-0.230159,51.510184
-0.230159,51.510184
-0.235246,51.504578
-0.234553,51.503866
-0.234553,51.503866
-0.235246,51.504578
-0.234553,51.503866
-0.235246,51.504578
-0.234875,51.502261
-0.233993,51.504937
-0.233993,51.504937
-0.234553,51.503866
-0.233993,51.504937
-0.234875,51.502261
-0.231488,51.503037
-0.229663,51.503262
-0.229663,51.503262
-0.230996,51.501969
-0.231488,51.503037
-0.229663,51.503262
-0.231488,51.503037
-0.225617,51.503929
-0.224429,51.503515
-0.224429,51.503515
-0.224604,51.50368
-0.2276,51.505571
-0.227346,51.503568
-0.227346,51.503568
-0.227764,51.504312
-0.227346,51.503568
-0.225384,51.505499
-0.22619,51.505511
-0.229315,51.504821
-0.228133,51.503724
-0.2276,51.505571
-0.2276,51.505571
-0.224806,51.502181
-0.227764,51.504312
-0.232715,51.506689
-0.233739,51.505544
-0.230189,51.504933
-0.233739,51.505544
-0.233739,51.505544
-0.23122,51.506235
-0.2334,51.500908
-0.2334,51.500908
-0.2334,51.500908
-0.235465,51.5004
-0.238895,51.500239
-0.236307,51.503605
-0.236617,51.501172
-0.238895,51.500239
-0.238063,51.506275
-0.242632,51.50325
-0.242794,51.502776
-0.238063,51.506275
-0.243189,51.503366
-0.238665,51.505987
-0.240624,51.505612
-0.240624,51.505612
-0.244307,51.505784
-0.244307,51.505784
-0.244307,51.505784
-0.244307,51.505784
-0.245883,51.50525
-0.240229,51.502414
-0.240229,51.502414
-0.240229,51.502414
-0.240229,51.502414
-0.24054,51.503695
-0.217248,51.503883
-0.217248,51.503883
-0.215741,51.501873
-0.219058,51.502903
-0.217433,51.502096
-0.223631,51.499421
-0.223631,51.499421
-0.223631,51.499421
-0.225759,51.500289
-0.225759,51.500289
-0.223631,51.499421
-0.223631,51.499421
-0.225759,51.500289
-0.222025,51.501078
-0.219582,51.500555
-0.222025,51.501078
-0.219582,51.500555
-0.222025,51.501078
-0.222025,51.501078
-0.219582,51.500555
-0.220174,51.502372
-0.219582,51.500555
-0.220174,51.502372
-0.219228,51.504102
-0.219228,51.504102
-0.219228,51.504102
-0.219826,51.503176
-0.219228,51.504102
-0.219826,51.503176
-0.219228,51.504102
-0.218793,51.503764
-0.219228,51.504102
-0.218793,51.503764
-0.219228,51.504102
-0.218793,51.503764
-0.219228,51.504102
-0.218793,51.503764
-0.217248,51.503883
-0.219228,51.504102
-0.251368,51.504262
-0.243908,51.503782
-0.243908,51.503782
-0.243908,51.503782
-0.243908,51.503782
-0.244719,51.501806
-0.242729,51.498854
-0.242896,51.501258
-0.23152,51.501096
-0.23152,51.501096
-0.227586,51.502223
-0.227586,51.502223
-0.227512,51.500397
-0.230137,51.501075
-0.227512,51.500397
-0.230137,51.501075
-0.230137,51.501075
-0.229443,51.498169
-0.22829,51.498169
-0.23055,51.499354
-0.22829,51.498169
-0.233287,51.495268
-0.216804,51.497519
-0.22069,51.498738
-0.217565,51.500183
-0.215609,51.500468
-0.213773,51.499891
-0.214439,51.499443
-0.22394,51.498517
-0.22394,51.498517
-0.223191,51.497777
-0.22394,51.498517
-0.223657,51.498774
-0.219294,51.495731
-0.219294,51.495731
-0.222732,51.49661
-0.222732,51.49661
-0.215587,51.498435
-0.215964,51.497272
-0.236658,51.497882
-0.236658,51.497882
-0.236658,51.497882
-0.236658,51.497882
-0.235472,51.497999
-0.236724,51.499519
-0.235472,51.497999
-0.236553,51.495353
-0.236553,51.495353
-0.236553,51.495353
-0.236553,51.495353
-0.235472,51.497999
-0.241034,51.493856
-0.243762,51.494077
-0.242448,51.495289
-0.2368,51.490447
-0.235723,51.492598
-0.234707,51.492817
-0.237953,51.49381
-0.234992,51.495501
-0.237639,51.491854
-0.2368,51.490447
-0.235723,51.492598
-0.235723,51.492598
-0.239871,51.493002
-0.243602,51.492635
-0.245042,51.493403
-0.209945,51.494249
-0.209706,51.493364
-0.209706,51.493364
-0.209945,51.494249
-0.209945,51.494249
-0.211792,51.494915
-0.211792,51.494915
-0.20994,51.497333
-0.211792,51.494915
-0.206942,51.494787
-0.205922,51.492146
-0.205289,51.492865
-0.206614,51.493964
-0.206614,51.493964
-0.206632,51.49168
-0.206977,51.492792
-0.205905,51.493324
-0.206614,51.493964
-0.206614,51.493964
-0.204839,51.493307
-0.206632,51.49168
-0.215466,51.493784
-0.212481,51.494242
-0.214029,51.491865
-0.213285,51.492088
-0.210618,51.491777
-0.210618,51.491777
-0.210618,51.491777
-0.213285,51.492088
-0.213285,51.492088
-0.227072,51.490202
-0.225623,51.490791
-0.228608,51.489964
-0.230696,51.490355
-0.232687,51.491761
-0.228608,51.489964
-0.228608,51.489964
-0.231565,51.492104
-0.231565,51.492104
-0.232654,51.493739
-0.230696,51.490355
-0.232654,51.493739
-0.232616,51.49212
-0.231565,51.492104
-0.232616,51.49212
-0.232687,51.491761
-0.231565,51.492104
-0.228608,51.489964
-0.232616,51.49212
-0.232616,51.49212
-0.224336,51.494629
-0.224336,51.494629
-0.224574,51.492223
-0.228537,51.495511
-0.224574,51.492223
-0.224735,51.492891
-0.224735,51.492891
-0.224735,51.492891
-0.224574,51.492223
-0.224574,51.492223
-0.224574,51.492223
-0.224574,51.492223
-0.224336,51.494629
-0.2193,51.49226
-0.224574,51.492223
-0.224336,51.494629
-0.224735,51.492891
-0.224735,51.492891
-0.224735,51.492891
-0.224336,51.494629
-0.224574,51.492223
-0.225101,51.492384
-0.220685,51.4922
-0.224574,51.492223
-0.224735,51.492891
-0.224574,51.492223
-0.224735,51.492891
-0.224574,51.492223
-0.228404,51.497083
-0.224574,51.492223
-0.224336,51.494629
-0.224735,51.492891
-0.220908,51.494631
-0.224574,51.492223
-0.224336,51.494629
-0.224336,51.494629
-0.224735,51.492891
-0.224336,51.494629
-0.224336,51.494629
-0.227489,51.49804
-0.226392,51.492134
-0.225952,51.494564
-0.227785,51.495608
-0.224574,51.492223
-0.224574,51.492223
-0.224336,51.494629
-0.225952,51.494564
-0.224336,51.494629
-0.220908,51.494631
-0.224336,51.494629
-0.224735,51.492891
-0.227785,51.495608
-0.227785,51.495608
-0.225062,51.494479
-0.230592,51.491927
-0.226798,51.492893
-0.230592,51.491927
-0.22934,51.491899
-0.22934,51.491899
-0.226798,51.492893
-0.226798,51.492893
-0.231308,51.494645
-0.22934,51.491899
-0.226829,51.49312
-0.22934,51.491899
-0.226798,51.492893
-0.226798,51.492893
-0.226798,51.492893
-0.22934,51.491899
-0.226798,51.492893
-0.22621,51.488678
-0.220103,51.489404
-0.224766,51.489492
-0.223307,51.489983
-0.214694,51.49032
-0.215638,51.490136
-0.219161,51.489533
-0.217124,51.487119
-0.209642,51.489478
-0.213257,51.490226
-0.213024,51.489925
-0.210986,51.489382
-0.210986,51.489382
-0.208199,51.487721
-0.206641,51.49035
-0.206641,51.49035
-0.205848,51.490364
-0.206742,51.489982
-0.206742,51.489982
-0.206742,51.489982
-0.206742,51.489982
-0.205381,51.482804
-0.204205,51.484512
-0.204205,51.484512
-0.204205,51.484512
-0.204205,51.484512
-0.207958,51.488706
-0.207958,51.488706
-0.204954,51.488543
-0.204954,51.488543
-0.206838,51.489004
-0.208199,51.487721
-0.205506,51.485863
-0.209001,51.487094
-0.205506,51.485863
-0.203743,51.487104
-0.202955,51.488459
-0.203787,51.487815
-0.205683,51.487214
-0.203727,51.488983
-0.203743,51.487104
-0.20181,51.488297
-0.19745,51.487088
-0.202858,51.48727
-0.202858,51.48727
-0.212441,51.484206
-0.215037,51.483383
-0.214994,51.482654
-0.208604,51.483617
-0.208604,51.483617
-0.213579,51.483837
-0.215597,51.483787
-0.217303,51.485836
-0.218329,51.487227
-0.218329,51.487227
-0.218329,51.487227
-0.218329,51.487227
-0.218329,51.487227
-0.218329,51.487227
-0.218329,51.487227
-0.218329,51.487227
-0.218329,51.487227
-0.218329,51.487227
-0.218329,51.487227
-0.213567,51.487092
-0.211893,51.485331
-0.213941,51.487853
-0.210634,51.484754
-0.195953,51.482299
-0.195078,51.480397
-0.195078,51.480397
-0.197561,51.480975
-0.195078,51.480397
-0.195078,51.480397
-0.1932,51.483102
-0.199581,51.482715
-0.200207,51.481807
-0.200207,51.481807
-0.196512,51.48202
-0.200708,51.482615
-0.201302,51.481068
-0.196487,51.486651
-0.195806,51.4853
-0.196219,51.485792
-0.196487,51.486651
-0.196219,51.485792
-0.196073,51.486572
-0.202289,51.484159
-0.202686,51.485046
-0.202289,51.484159
-0.202289,51.484159
-0.199154,51.485514
-0.20043,51.482728
-0.201749,51.484717
-0.202289,51.484159
-0.202064,51.484398
-0.202091,51.485181
-0.224443,51.48447
-0.223654,51.48328
-0.22372,51.487147
-0.224338,51.487912
-0.219753,51.483589
-0.220652,51.484907
-0.220652,51.484907
-0.223465,51.486667
-0.223378,51.488527
-0.21911,51.481988
-0.223148,51.481105
-0.223148,51.481105
-0.21911,51.481988
-0.21911,51.481988
-0.21911,51.481988
-0.219172,51.477052
-0.217804,51.480385
-0.219168,51.475676
-0.222739,51.477169
-0.208456,51.481879
-0.205177,51.482513
-0.205177,51.482513
-0.205177,51.482513
-0.212413,51.478658
-0.212413,51.478658
-0.210614,51.482317
-0.2121,51.482241
-0.212448,51.48034
-0.19041,51.48118
-0.187404,51.478894
-0.194515,51.480416
-0.19041,51.48118
-0.19041,51.48118
-0.194149,51.479861
-0.194515,51.480416
-0.194515,51.480416
-0.187993,51.480018
-0.194149,51.479861
-0.190476,51.479139
-0.192464,51.478388
-0.192464,51.478388
-0.195575,51.477
-0.197307,51.476835
-0.190265,51.475737
-0.192835,51.477395
-0.189327,51.476514
-0.189327,51.476514
-0.191904,51.476895
-0.190265,51.475737
-0.198235,51.478854
-0.200424,51.478483
-0.201658,51.474563
-0.205479,51.475539
-0.207568,51.476623
-0.207354,51.475091
-0.203648,51.47927
-0.203648,51.47927
-0.200002,51.477505
-0.200002,51.477505
-0.200783,51.475962
-0.200002,51.477505
-0.205609,51.473338
-0.196313,51.479382
-0.19921,51.478959
-0.19761,51.480472
-0.197851,51.480197
-0.197244,51.479154
-0.1999,51.478988
-0.198311,51.480204
-0.19761,51.480472
-0.214887,51.478362
-0.214887,51.478362
-0.215856,51.477154
-0.215856,51.477154
-0.216074,51.478587
-0.214507,51.476684
-0.211025,51.476226
-0.214507,51.476684
-0.21038,51.475425
-0.212045,51.473706
-0.19169,51.472827
-0.19169,51.472827
-0.189792,51.469489
-0.185973,51.47139
-0.189792,51.469489
-0.189789,51.470307
-0.187528,51.472484
-0.189615,51.471051
-0.186575,51.473279
-0.185383,51.475383
